mixture_ID,speaker_1_ID,speaker_2_ID
BAC009S0750W0266_BAC009S0736W0369,S0750,S0736
BAC009S0733W0321_BAC009S0749W0318,S0733,S0749
BAC009S0748W0153_BAC009S0755W0325,S0748,S0755
BAC009S0756W0243_BAC009S0735W0304,S0756,S0735
BAC009S0744W0183_BAC009S0734W0350,S0744,S0734
BAC009S0741W0389_BAC009S0735W0457,S0741,S0735
BAC009S0756W0416_BAC009S0753W0132,S0756,S0753
BAC009S0736W0356_BAC009S0748W0176,S0736,S0748
BAC009S0741W0461_BAC009S0744W0485,S0741,S0744
BAC009S0752W0234_BAC009S0736W0443,S0752,S0736
BAC009S0741W0446_BAC009S0742W0318,S0741,S0742
BAC009S0731W0146_BAC009S0760W0229,S0731,S0760
BAC009S0763W0393_BAC009S0751W0434,S0763,S0751
BAC009S0741W0416_BAC009S0756W0282,S0741,S0756
BAC009S0730W0460_BAC009S0724W0367,S0730,S0724
BAC009S0760W0279_BAC009S0744W0401,S0760,S0744
BAC009S0724W0236_BAC009S0763W0469,S0724,S0763
BAC009S0755W0471_BAC009S0741W0381,S0755,S0741
BAC009S0760W0157_BAC009S0761W0385,S0760,S0761
BAC009S0750W0167_BAC009S0753W0203,S0750,S0753
BAC009S0737W0157_BAC009S0757W0445,S0737,S0757
BAC009S0750W0236_BAC009S0755W0229,S0750,S0755
BAC009S0752W0139_BAC009S0737W0319,S0752,S0737
BAC009S0725W0182_BAC009S0746W0393,S0725,S0746
BAC009S0763W0214_BAC009S0733W0467,S0763,S0733
BAC009S0728W0371_BAC009S0740W0340,S0728,S0740
BAC009S0738W0320_BAC009S0758W0434,S0738,S0758
BAC009S0747W0134_BAC009S0758W0370,S0747,S0758
BAC009S0724W0462_BAC009S0739W0329,S0724,S0739
BAC009S0731W0149_BAC009S0748W0367,S0731,S0748
BAC009S0742W0218_BAC009S0726W0463,S0742,S0726
BAC009S0731W0480_BAC009S0739W0145,S0731,S0739
BAC009S0735W0363_BAC009S0741W0358,S0735,S0741
BAC009S0754W0478_BAC009S0736W0334,S0754,S0736
BAC009S0726W0439_BAC009S0756W0292,S0726,S0756
BAC009S0748W0146_BAC009S0737W0432,S0748,S0737
BAC009S0755W0127_BAC009S0751W0232,S0755,S0751
BAC009S0748W0263_BAC009S0744W0326,S0748,S0744
BAC009S0739W0341_BAC009S0763W0282,S0739,S0763
BAC009S0750W0233_BAC009S0751W0441,S0750,S0751
BAC009S0734W0464_BAC009S0750W0139,S0734,S0750
BAC009S0750W0353_BAC009S0733W0133,S0750,S0733
BAC009S0741W0326_BAC009S0727W0482,S0741,S0727
BAC009S0753W0150_BAC009S0748W0289,S0753,S0748
BAC009S0741W0251_BAC009S0756W0325,S0741,S0756
BAC009S0735W0252_BAC009S0754W0177,S0735,S0754
BAC009S0761W0284_BAC009S0747W0318,S0761,S0747
BAC009S0736W0296_BAC009S0756W0294,S0736,S0756
BAC009S0748W0360_BAC009S0735W0448,S0748,S0735
BAC009S0724W0433_BAC009S0729W0430,S0724,S0729
BAC009S0727W0361_BAC009S0739W0342,S0727,S0739
BAC009S0734W0306_BAC009S0735W0284,S0734,S0735
BAC009S0733W0168_BAC009S0735W0477,S0733,S0735
BAC009S0730W0336_BAC009S0729W0366,S0730,S0729
BAC009S0745W0324_BAC009S0752W0372,S0745,S0752
BAC009S0749W0321_BAC009S0748W0305,S0749,S0748
BAC009S0740W0388_BAC009S0755W0207,S0740,S0755
BAC009S0743W0234_BAC009S0732W0326,S0743,S0732
BAC009S0726W0179_BAC009S0732W0472,S0726,S0732
BAC009S0726W0428_BAC009S0760W0368,S0726,S0760
BAC009S0743W0495_BAC009S0751W0481,S0743,S0751
BAC009S0739W0225_BAC009S0740W0408,S0739,S0740
BAC009S0746W0177_BAC009S0749W0350,S0746,S0749
BAC009S0741W0485_BAC009S0748W0165,S0741,S0748
BAC009S0756W0415_BAC009S0743W0372,S0756,S0743
BAC009S0733W0473_BAC009S0738W0154,S0733,S0738
BAC009S0754W0203_BAC009S0726W0459,S0754,S0726
BAC009S0755W0158_BAC009S0745W0176,S0755,S0745
BAC009S0733W0135_BAC009S0737W0366,S0733,S0737
BAC009S0744W0234_BAC009S0757W0185,S0744,S0757
BAC009S0763W0295_BAC009S0754W0148,S0763,S0754
BAC009S0753W0488_BAC009S0755W0171,S0753,S0755
BAC009S0757W0214_BAC009S0756W0455,S0757,S0756
BAC009S0739W0297_BAC009S0734W0235,S0739,S0734
BAC009S0747W0426_BAC009S0762W0331,S0747,S0762
BAC009S0754W0289_BAC009S0725W0403,S0754,S0725
BAC009S0731W0332_BAC009S0725W0174,S0731,S0725
BAC009S0762W0234_BAC009S0731W0385,S0762,S0731
BAC009S0763W0256_BAC009S0737W0492,S0763,S0737
BAC009S0753W0123_BAC009S0726W0454,S0753,S0726
BAC009S0724W0313_BAC009S0737W0335,S0724,S0737
BAC009S0754W0174_BAC009S0740W0231,S0754,S0740
BAC009S0763W0210_BAC009S0725W0233,S0763,S0725
BAC009S0734W0164_BAC009S0742W0185,S0734,S0742
BAC009S0725W0401_BAC009S0743W0441,S0725,S0743
BAC009S0743W0410_BAC009S0753W0140,S0743,S0753
BAC009S0739W0374_BAC009S0724W0206,S0739,S0724
BAC009S0738W0325_BAC009S0763W0246,S0738,S0763
BAC009S0737W0225_BAC009S0745W0453,S0737,S0745
BAC009S0759W0339_BAC009S0736W0363,S0759,S0736
BAC009S0747W0190_BAC009S0763W0349,S0747,S0763
BAC009S0733W0361_BAC009S0734W0221,S0733,S0734
BAC009S0747W0439_BAC009S0742W0348,S0747,S0742
BAC009S0761W0312_BAC009S0734W0466,S0761,S0734
BAC009S0758W0495_BAC009S0728W0443,S0758,S0728
BAC009S0759W0224_BAC009S0736W0445,S0759,S0736
BAC009S0739W0411_BAC009S0730W0269,S0739,S0730
BAC009S0747W0194_BAC009S0735W0166,S0747,S0735
BAC009S0762W0384_BAC009S0734W0319,S0762,S0734
BAC009S0728W0456_BAC009S0741W0308,S0728,S0741
BAC009S0733W0459_BAC009S0748W0288,S0733,S0748
BAC009S0745W0394_BAC009S0758W0348,S0745,S0758
BAC009S0734W0421_BAC009S0755W0199,S0734,S0755
BAC009S0761W0231_BAC009S0739W0257,S0761,S0739
BAC009S0747W0384_BAC009S0752W0261,S0747,S0752
BAC009S0748W0413_BAC009S0733W0207,S0748,S0733
BAC009S0724W0141_BAC009S0736W0196,S0724,S0736
BAC009S0738W0448_BAC009S0759W0330,S0738,S0759
BAC009S0734W0173_BAC009S0741W0286,S0734,S0741
BAC009S0732W0284_BAC009S0749W0123,S0732,S0749
BAC009S0738W0356_BAC009S0749W0270,S0738,S0749
BAC009S0744W0166_BAC009S0726W0241,S0744,S0726
BAC009S0741W0322_BAC009S0733W0239,S0741,S0733
BAC009S0751W0238_BAC009S0755W0251,S0751,S0755
BAC009S0745W0441_BAC009S0740W0444,S0745,S0740
BAC009S0731W0358_BAC009S0756W0137,S0731,S0756
BAC009S0754W0189_BAC009S0762W0135,S0754,S0762
BAC009S0754W0176_BAC009S0734W0185,S0754,S0734
BAC009S0740W0202_BAC009S0738W0382,S0740,S0738
BAC009S0738W0226_BAC009S0753W0291,S0738,S0753
BAC009S0727W0349_BAC009S0742W0283,S0727,S0742
BAC009S0749W0316_BAC009S0729W0331,S0749,S0729
BAC009S0726W0474_BAC009S0738W0345,S0726,S0738
BAC009S0743W0230_BAC009S0726W0132,S0743,S0726
BAC009S0748W0254_BAC009S0749W0381,S0748,S0749
BAC009S0758W0418_BAC009S0734W0213,S0758,S0734
BAC009S0729W0261_BAC009S0736W0491,S0729,S0736
BAC009S0741W0371_BAC009S0742W0433,S0741,S0742
BAC009S0728W0148_BAC009S0739W0379,S0728,S0739
BAC009S0747W0241_BAC009S0732W0249,S0747,S0732
BAC009S0739W0347_BAC009S0754W0193,S0739,S0754
BAC009S0733W0229_BAC009S0749W0138,S0733,S0749
BAC009S0753W0194_BAC009S0744W0217,S0753,S0744
BAC009S0750W0150_BAC009S0744W0476,S0750,S0744
BAC009S0736W0193_BAC009S0752W0272,S0736,S0752
BAC009S0738W0481_BAC009S0726W0402,S0738,S0726
BAC009S0750W0222_BAC009S0749W0198,S0750,S0749
BAC009S0761W0362_BAC009S0734W0344,S0761,S0734
BAC009S0753W0313_BAC009S0736W0128,S0753,S0736
BAC009S0725W0477_BAC009S0752W0495,S0725,S0752
BAC009S0751W0159_BAC009S0762W0126,S0751,S0762
BAC009S0729W0463_BAC009S0762W0198,S0729,S0762
BAC009S0724W0194_BAC009S0763W0397,S0724,S0763
BAC009S0738W0480_BAC009S0724W0368,S0738,S0724
BAC009S0748W0398_BAC009S0731W0292,S0748,S0731
BAC009S0762W0493_BAC009S0740W0464,S0762,S0740
BAC009S0725W0470_BAC009S0754W0250,S0725,S0754
BAC009S0733W0464_BAC009S0760W0197,S0733,S0760
BAC009S0746W0406_BAC009S0737W0478,S0746,S0737
BAC009S0733W0291_BAC009S0745W0185,S0733,S0745
BAC009S0758W0460_BAC009S0727W0192,S0758,S0727
BAC009S0741W0169_BAC009S0727W0136,S0741,S0727
BAC009S0746W0303_BAC009S0750W0258,S0746,S0750
BAC009S0742W0431_BAC009S0744W0494,S0742,S0744
BAC009S0758W0209_BAC009S0727W0246,S0758,S0727
BAC009S0749W0173_BAC009S0738W0488,S0749,S0738
BAC009S0747W0128_BAC009S0762W0472,S0747,S0762
BAC009S0748W0276_BAC009S0756W0290,S0748,S0756
BAC009S0732W0208_BAC009S0743W0324,S0732,S0743
BAC009S0756W0156_BAC009S0749W0326,S0756,S0749
BAC009S0743W0446_BAC009S0734W0246,S0743,S0734
BAC009S0750W0390_BAC009S0740W0423,S0750,S0740
BAC009S0759W0251_BAC009S0727W0223,S0759,S0727
BAC009S0754W0204_BAC009S0761W0133,S0754,S0761
BAC009S0734W0212_BAC009S0739W0488,S0734,S0739
BAC009S0753W0234_BAC009S0733W0344,S0753,S0733
BAC009S0730W0470_BAC009S0749W0412,S0730,S0749
BAC009S0735W0232_BAC009S0736W0139,S0735,S0736
BAC009S0762W0425_BAC009S0755W0215,S0762,S0755
BAC009S0757W0289_BAC009S0751W0372,S0757,S0751
BAC009S0731W0441_BAC009S0746W0316,S0731,S0746
BAC009S0726W0346_BAC009S0756W0291,S0726,S0756
BAC009S0737W0365_BAC009S0740W0316,S0737,S0740
BAC009S0735W0136_BAC009S0733W0287,S0735,S0733
BAC009S0725W0192_BAC009S0729W0195,S0725,S0729
BAC009S0730W0268_BAC009S0746W0166,S0730,S0746
BAC009S0763W0144_BAC009S0762W0213,S0763,S0762
BAC009S0737W0468_BAC009S0743W0123,S0737,S0743
BAC009S0763W0172_BAC009S0735W0430,S0763,S0735
BAC009S0759W0252_BAC009S0751W0332,S0759,S0751
BAC009S0750W0466_BAC009S0763W0335,S0750,S0763
BAC009S0752W0137_BAC009S0747W0308,S0752,S0747
BAC009S0737W0304_BAC009S0740W0386,S0737,S0740
BAC009S0732W0245_BAC009S0752W0152,S0732,S0752
BAC009S0737W0333_BAC009S0726W0147,S0737,S0726
BAC009S0733W0274_BAC009S0758W0359,S0733,S0758
BAC009S0734W0404_BAC009S0731W0418,S0734,S0731
BAC009S0755W0200_BAC009S0740W0389,S0755,S0740
BAC009S0738W0306_BAC009S0737W0471,S0738,S0737
BAC009S0739W0387_BAC009S0728W0450,S0739,S0728
BAC009S0761W0479_BAC009S0732W0356,S0761,S0732
BAC009S0745W0192_BAC009S0750W0424,S0745,S0750
BAC009S0744W0320_BAC009S0751W0280,S0744,S0751
BAC009S0762W0140_BAC009S0752W0349,S0762,S0752
BAC009S0757W0329_BAC009S0752W0404,S0757,S0752
BAC009S0748W0187_BAC009S0738W0350,S0748,S0738
BAC009S0752W0264_BAC009S0741W0396,S0752,S0741
BAC009S0726W0138_BAC009S0739W0136,S0726,S0739
BAC009S0732W0328_BAC009S0738W0322,S0732,S0738
BAC009S0730W0187_BAC009S0747W0256,S0730,S0747
BAC009S0742W0156_BAC009S0739W0370,S0742,S0739
BAC009S0734W0411_BAC009S0746W0478,S0734,S0746
BAC009S0756W0235_BAC009S0748W0243,S0756,S0748
BAC009S0749W0487_BAC009S0753W0479,S0749,S0753
BAC009S0741W0349_BAC009S0749W0476,S0741,S0749
BAC009S0754W0270_BAC009S0725W0378,S0754,S0725
BAC009S0742W0341_BAC009S0758W0333,S0742,S0758
BAC009S0754W0355_BAC009S0752W0431,S0754,S0752
BAC009S0728W0250_BAC009S0726W0227,S0728,S0726
BAC009S0724W0244_BAC009S0762W0342,S0724,S0762
BAC009S0730W0308_BAC009S0731W0319,S0730,S0731
BAC009S0757W0446_BAC009S0728W0439,S0757,S0728
BAC009S0732W0267_BAC009S0729W0267,S0732,S0729
BAC009S0727W0454_BAC009S0758W0361,S0727,S0758
BAC009S0750W0171_BAC009S0745W0303,S0750,S0745
BAC009S0760W0392_BAC009S0724W0336,S0760,S0724
BAC009S0739W0182_BAC009S0727W0130,S0739,S0727
BAC009S0742W0176_BAC009S0758W0312,S0742,S0758
BAC009S0736W0326_BAC009S0727W0327,S0736,S0727
BAC009S0754W0146_BAC009S0729W0449,S0754,S0729
BAC009S0733W0241_BAC009S0738W0371,S0733,S0738
BAC009S0741W0199_BAC009S0725W0383,S0741,S0725
BAC009S0734W0177_BAC009S0739W0365,S0734,S0739
BAC009S0741W0492_BAC009S0749W0222,S0741,S0749
BAC009S0739W0302_BAC009S0725W0359,S0739,S0725
BAC009S0763W0245_BAC009S0759W0169,S0763,S0759
BAC009S0747W0317_BAC009S0763W0371,S0747,S0763
BAC009S0761W0286_BAC009S0738W0132,S0761,S0738
BAC009S0749W0345_BAC009S0724W0125,S0749,S0724
BAC009S0744W0160_BAC009S0726W0196,S0744,S0726
BAC009S0760W0489_BAC009S0725W0294,S0760,S0725
BAC009S0728W0121_BAC009S0724W0176,S0728,S0724
BAC009S0758W0275_BAC009S0762W0243,S0758,S0762
BAC009S0727W0210_BAC009S0739W0259,S0727,S0739
BAC009S0750W0122_BAC009S0726W0175,S0750,S0726
BAC009S0761W0252_BAC009S0760W0332,S0761,S0760
BAC009S0734W0403_BAC009S0729W0126,S0734,S0729
BAC009S0755W0387_BAC009S0736W0322,S0755,S0736
BAC009S0733W0194_BAC009S0761W0190,S0733,S0761
BAC009S0762W0349_BAC009S0735W0480,S0762,S0735
BAC009S0739W0230_BAC009S0732W0468,S0739,S0732
BAC009S0758W0149_BAC009S0746W0419,S0758,S0746
BAC009S0759W0240_BAC009S0756W0349,S0759,S0756
BAC009S0753W0249_BAC009S0751W0360,S0753,S0751
BAC009S0732W0315_BAC009S0748W0186,S0732,S0748
BAC009S0725W0217_BAC009S0728W0304,S0725,S0728
BAC009S0755W0324_BAC009S0754W0456,S0755,S0754
BAC009S0730W0283_BAC009S0743W0327,S0730,S0743
BAC009S0733W0479_BAC009S0745W0314,S0733,S0745
BAC009S0750W0156_BAC009S0724W0129,S0750,S0724
BAC009S0729W0376_BAC009S0726W0254,S0729,S0726
BAC009S0760W0310_BAC009S0744W0344,S0760,S0744
BAC009S0754W0139_BAC009S0725W0169,S0754,S0725
BAC009S0761W0127_BAC009S0738W0291,S0761,S0738
BAC009S0724W0457_BAC009S0746W0160,S0724,S0746
BAC009S0747W0451_BAC009S0735W0467,S0747,S0735
BAC009S0758W0404_BAC009S0759W0124,S0758,S0759
BAC009S0731W0147_BAC009S0762W0404,S0731,S0762
BAC009S0759W0202_BAC009S0724W0269,S0759,S0724
BAC009S0734W0416_BAC009S0745W0434,S0734,S0745
BAC009S0740W0159_BAC009S0746W0324,S0740,S0746
BAC009S0761W0261_BAC009S0749W0330,S0761,S0749
BAC009S0724W0421_BAC009S0747W0285,S0724,S0747
BAC009S0753W0121_BAC009S0758W0134,S0753,S0758
BAC009S0727W0481_BAC009S0738W0147,S0727,S0738
BAC009S0749W0145_BAC009S0737W0199,S0749,S0737
BAC009S0724W0476_BAC009S0727W0375,S0724,S0727
BAC009S0740W0372_BAC009S0750W0197,S0740,S0750
BAC009S0727W0178_BAC009S0731W0224,S0727,S0731
BAC009S0749W0225_BAC009S0734W0171,S0749,S0734
BAC009S0756W0217_BAC009S0747W0331,S0756,S0747
BAC009S0731W0204_BAC009S0739W0474,S0731,S0739
BAC009S0739W0263_BAC009S0734W0430,S0739,S0734
BAC009S0751W0353_BAC009S0754W0443,S0751,S0754
BAC009S0758W0325_BAC009S0752W0365,S0758,S0752
BAC009S0749W0341_BAC009S0758W0158,S0749,S0758
BAC009S0744W0461_BAC009S0737W0437,S0744,S0737
BAC009S0736W0488_BAC009S0745W0158,S0736,S0745
BAC009S0756W0257_BAC009S0724W0247,S0756,S0724
BAC009S0747W0334_BAC009S0728W0189,S0747,S0728
BAC009S0724W0202_BAC009S0734W0308,S0724,S0734
BAC009S0731W0408_BAC009S0759W0448,S0731,S0759
BAC009S0743W0155_BAC009S0746W0179,S0743,S0746
BAC009S0725W0236_BAC009S0755W0130,S0725,S0755
BAC009S0740W0248_BAC009S0739W0129,S0740,S0739
BAC009S0729W0440_BAC009S0753W0177,S0729,S0753
BAC009S0761W0269_BAC009S0746W0132,S0761,S0746
BAC009S0737W0139_BAC009S0732W0233,S0737,S0732
BAC009S0726W0273_BAC009S0760W0431,S0726,S0760
BAC009S0751W0281_BAC009S0725W0247,S0751,S0725
BAC009S0747W0181_BAC009S0739W0278,S0747,S0739
BAC009S0752W0417_BAC009S0724W0340,S0752,S0724
BAC009S0743W0218_BAC009S0736W0463,S0743,S0736
BAC009S0726W0144_BAC009S0724W0343,S0726,S0724
BAC009S0728W0339_BAC009S0750W0463,S0728,S0750
BAC009S0743W0337_BAC009S0737W0460,S0743,S0737
BAC009S0748W0389_BAC009S0756W0320,S0748,S0756
BAC009S0748W0308_BAC009S0762W0368,S0748,S0762
BAC009S0731W0334_BAC009S0751W0164,S0731,S0751
BAC009S0759W0334_BAC009S0738W0283,S0759,S0738
BAC009S0735W0272_BAC009S0757W0219,S0735,S0757
BAC009S0728W0247_BAC009S0763W0128,S0728,S0763
BAC009S0750W0158_BAC009S0725W0429,S0750,S0725
BAC009S0760W0344_BAC009S0758W0152,S0760,S0758
BAC009S0740W0380_BAC009S0748W0175,S0740,S0748
BAC009S0724W0484_BAC009S0742W0233,S0724,S0742
BAC009S0731W0277_BAC009S0747W0380,S0731,S0747
BAC009S0761W0401_BAC009S0749W0162,S0761,S0749
BAC009S0754W0201_BAC009S0735W0126,S0754,S0735
BAC009S0761W0464_BAC009S0750W0293,S0761,S0750
BAC009S0737W0358_BAC009S0748W0266,S0737,S0748
BAC009S0738W0153_BAC009S0741W0494,S0738,S0741
BAC009S0735W0425_BAC009S0758W0168,S0735,S0758
BAC009S0747W0352_BAC009S0736W0151,S0747,S0736
BAC009S0731W0490_BAC009S0758W0384,S0731,S0758
BAC009S0725W0454_BAC009S0761W0433,S0725,S0761
BAC009S0730W0136_BAC009S0724W0168,S0730,S0724
BAC009S0757W0278_BAC009S0737W0214,S0757,S0737
BAC009S0737W0373_BAC009S0755W0326,S0737,S0755
BAC009S0751W0292_BAC009S0762W0178,S0751,S0762
BAC009S0750W0209_BAC009S0738W0191,S0750,S0738
BAC009S0755W0146_BAC009S0736W0257,S0755,S0736
BAC009S0736W0210_BAC009S0761W0174,S0736,S0761
BAC009S0743W0392_BAC009S0754W0154,S0743,S0754
BAC009S0759W0242_BAC009S0763W0361,S0759,S0763
BAC009S0728W0266_BAC009S0741W0276,S0728,S0741
BAC009S0742W0366_BAC009S0736W0471,S0742,S0736
BAC009S0744W0185_BAC009S0752W0206,S0744,S0752
BAC009S0753W0225_BAC009S0748W0337,S0753,S0748
BAC009S0753W0383_BAC009S0743W0310,S0753,S0743
BAC009S0737W0246_BAC009S0752W0254,S0737,S0752
BAC009S0729W0420_BAC009S0747W0125,S0729,S0747
BAC009S0728W0385_BAC009S0746W0183,S0728,S0746
BAC009S0744W0139_BAC009S0734W0486,S0744,S0734
BAC009S0749W0227_BAC009S0757W0144,S0749,S0757
BAC009S0754W0195_BAC009S0742W0462,S0754,S0742
BAC009S0739W0362_BAC009S0744W0144,S0739,S0744
BAC009S0744W0367_BAC009S0747W0183,S0744,S0747
BAC009S0742W0443_BAC009S0757W0238,S0742,S0757
BAC009S0756W0418_BAC009S0758W0250,S0756,S0758
BAC009S0727W0444_BAC009S0753W0483,S0727,S0753
BAC009S0733W0474_BAC009S0739W0172,S0733,S0739
BAC009S0758W0287_BAC009S0755W0371,S0758,S0755
BAC009S0756W0194_BAC009S0737W0154,S0756,S0737
BAC009S0730W0472_BAC009S0746W0162,S0730,S0746
BAC009S0732W0368_BAC009S0750W0244,S0732,S0750
BAC009S0754W0238_BAC009S0729W0154,S0754,S0729
BAC009S0725W0259_BAC009S0740W0193,S0725,S0740
BAC009S0744W0216_BAC009S0758W0164,S0744,S0758
BAC009S0754W0242_BAC009S0751W0328,S0754,S0751
BAC009S0733W0454_BAC009S0742W0356,S0733,S0742
BAC009S0741W0339_BAC009S0745W0338,S0741,S0745
BAC009S0761W0470_BAC009S0732W0258,S0761,S0732
BAC009S0742W0127_BAC009S0749W0426,S0742,S0749
BAC009S0746W0259_BAC009S0733W0186,S0746,S0733
BAC009S0725W0390_BAC009S0756W0136,S0725,S0756
BAC009S0734W0291_BAC009S0751W0236,S0734,S0751
BAC009S0763W0257_BAC009S0745W0172,S0763,S0745
BAC009S0731W0294_BAC009S0746W0323,S0731,S0746
BAC009S0730W0144_BAC009S0754W0423,S0730,S0754
BAC009S0726W0355_BAC009S0763W0306,S0726,S0763
BAC009S0758W0310_BAC009S0742W0491,S0758,S0742
BAC009S0725W0145_BAC009S0746W0159,S0725,S0746
BAC009S0747W0388_BAC009S0737W0422,S0747,S0737
BAC009S0745W0231_BAC009S0748W0371,S0745,S0748
BAC009S0726W0214_BAC009S0724W0456,S0726,S0724
BAC009S0736W0374_BAC009S0755W0152,S0736,S0755
BAC009S0747W0158_BAC009S0752W0186,S0747,S0752
BAC009S0736W0303_BAC009S0762W0414,S0736,S0762
BAC009S0755W0193_BAC009S0737W0284,S0755,S0737
BAC009S0725W0360_BAC009S0751W0179,S0725,S0751
BAC009S0755W0132_BAC009S0743W0465,S0755,S0743
BAC009S0738W0457_BAC009S0742W0199,S0738,S0742
BAC009S0742W0125_BAC009S0757W0384,S0742,S0757
BAC009S0753W0326_BAC009S0751W0137,S0753,S0751
BAC009S0763W0272_BAC009S0728W0392,S0763,S0728
BAC009S0760W0322_BAC009S0737W0159,S0760,S0737
BAC009S0760W0253_BAC009S0759W0306,S0760,S0759
BAC009S0737W0193_BAC009S0754W0354,S0737,S0754
BAC009S0744W0154_BAC009S0735W0343,S0744,S0735
BAC009S0762W0154_BAC009S0757W0350,S0762,S0757
BAC009S0741W0285_BAC009S0746W0249,S0741,S0746
BAC009S0748W0330_BAC009S0741W0426,S0748,S0741
BAC009S0743W0291_BAC009S0738W0388,S0743,S0738
BAC009S0760W0141_BAC009S0724W0452,S0760,S0724
BAC009S0759W0183_BAC009S0739W0163,S0759,S0739
BAC009S0758W0195_BAC009S0724W0346,S0758,S0724
BAC009S0757W0339_BAC009S0738W0249,S0757,S0738
BAC009S0739W0456_BAC009S0751W0180,S0739,S0751
BAC009S0757W0451_BAC009S0734W0422,S0757,S0734
BAC009S0727W0139_BAC009S0757W0439,S0727,S0757
BAC009S0735W0229_BAC009S0730W0291,S0735,S0730
BAC009S0758W0433_BAC009S0724W0383,S0758,S0724
BAC009S0741W0316_BAC009S0750W0287,S0741,S0750
BAC009S0757W0182_BAC009S0738W0465,S0757,S0738
